epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1394,2.21939,2.3253,1.55463,0.73537,0.78492,0.79236,0.42036,1.77287,1.4646,1.36965,0.000330159,0.000330159,0.000330159
2,28.7075,2.02038,1.84998,1.38322,0.76645,0.72137,0.75962,0.44272,1.72955,1.30845,1.31727,0.000630649,0.000630649,0.000630649
3,42.1505,1.97983,1.72937,1.3716,0.78381,0.77003,0.82911,0.49118,1.64454,1.34745,1.31247,0.00089814,0.00089814,0.00089814
4,55.6346,1.86824,1.64197,1.31386,0.83882,0.82331,0.86039,0.50735,1.72169,1.38317,1.33484,0.0008515,0.0008515,0.0008515
5,69.1416,1.88202,1.54625,1.33245,0.7942,0.82493,0.86158,0.52274,1.61522,1.20201,1.28104,0.000802,0.000802,0.000802
6,82.6197,1.79936,1.49308,1.29066,0.86047,0.83497,0.87077,0.55126,1.61813,1.20181,1.27714,0.0007525,0.0007525,0.0007525
7,96.0477,1.79395,1.41476,1.29799,0.86576,0.81596,0.86132,0.52024,1.67417,1.19212,1.29431,0.000703,0.000703,0.000703
8,109.544,1.75982,1.38579,1.26277,0.88942,0.7973,0.85833,0.51678,1.613,1.1395,1.27532,0.0006535,0.0006535,0.0006535
9,123.092,1.75345,1.35117,1.26552,0.83508,0.86332,0.88108,0.53072,1.5974,1.13949,1.26996,0.000604,0.000604,0.000604
10,136.584,1.70721,1.31646,1.24009,0.86743,0.8604,0.88431,0.54239,1.60333,1.08048,1.26586,0.0005545,0.0005545,0.0005545
11,149.484,1.77089,1.37642,1.31402,0.84549,0.85344,0.86627,0.52044,1.63856,1.20156,1.28378,0.000505,0.000505,0.000505
12,162.333,1.71343,1.25839,1.25479,0.87609,0.87022,0.89072,0.54919,1.61332,1.14503,1.26222,0.0004555,0.0004555,0.0004555
13,175.152,1.71514,1.23705,1.2632,0.89924,0.87132,0.90219,0.57175,1.55192,1.03909,1.24285,0.000406,0.000406,0.000406
14,187.965,1.66754,1.18476,1.22798,0.88534,0.86517,0.89,0.55464,1.60452,1.04214,1.26307,0.0003565,0.0003565,0.0003565
15,200.753,1.66213,1.13756,1.21833,0.88094,0.87957,0.89375,0.57171,1.57499,1.01316,1.24492,0.000307,0.000307,0.000307
16,213.59,1.62981,1.11238,1.1958,0.8857,0.8673,0.89827,0.56595,1.57915,1.05391,1.24175,0.0002575,0.0002575,0.0002575
17,226.487,1.61573,1.1124,1.19975,0.90206,0.87201,0.90661,0.57685,1.56498,0.98991,1.23931,0.000208,0.000208,0.000208
18,239.274,1.59193,1.08256,1.19782,0.88168,0.8802,0.90611,0.58518,1.53838,0.98633,1.23548,0.0001585,0.0001585,0.0001585
19,252.085,1.6028,1.07014,1.18681,0.88174,0.88948,0.90922,0.57797,1.54864,0.97749,1.24508,0.000109,0.000109,0.000109
20,264.989,1.58016,1.05771,1.18514,0.89139,0.89345,0.90949,0.59512,1.53012,0.97017,1.23049,5.95e-05,5.95e-05,5.95e-05
